-50	2,04	9,23	0,728
-40	2,12	10,04	0,728
-30	2,20	10,80	0,723
-20	2,28	12,79	0,716
-10	2,36	12,43	0,712
0	2,44	13,28	0,707
10	2,51	14,16	0,705
20	2,59	15,06	0,703
30	2,67	16,00	0,701
40	2,76	16,96	0,699
50	2,83	17,95	0,698
60	2,90	18,97	0,696
70	2,96	20,02	0,694
80	3,05	21,09	0,692
90	3,13	22,10	0,690
100	3,21	23,13	0,688
120	3,34	25,45	0,686
140	3,49	27,80	0,684
160	3,64	30,09	0,682
180	3,78	32,49	0,681
200	3,93	34,85	0,680
250	4,27	40,61	0,677
300	4,60	48,33	0,674
350	4,91	55,46	0,676
400	5,21	63,09	0,678
500	5,74	79,38	0,687
600	6,22	96,89	0,699
700	6,71	115,4	0,706
800	7,18	134,8	0,713
900	7,63	155,1	0,717
1000	8,07	177,1	0,719
1100	8,50	199,3	0,722
1200	9,15	233,7	0,724
